datetime,close,Volume,funding_rate,log_returns,log_returns_13,Hurst_13,MR_Strength_13,RSI_13,Momentum_13,MACD_13,MACD_Signal_13,MACD_Diff_13,Volatility_logreturns_13,log_returns_34,Hurst_34,MR_Strength_34,RSI_34,Momentum_34,MACD_34,MACD_Signal_34,MACD_Diff_34,Volatility_logreturns_34,log_returns_55,Hurst_55,MR_Strength_55,RSI_55,Momentum_55,MACD_55,MACD_Signal_55,MACD_Diff_55,Volatility_logreturns_55,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7
2022-02-12,42244.46875,18152390304,0.0001,-0.00386212183286643,0.10805800262063218,,0.209343331375786,55.243018538972514,11.411236494924335,914.9959881847681,888.9462948711289,26.04969331363918,0.037217949078550486,0.0079107525378662,,0.10556498353963789,48.57899289269919,0.7942125213316344,-34.1578489595413,-606.5678029878201,572.4099540282788,0.03335037981237652,,,,,,,,,,-10409723906.4388,7056.015475018277,-780.6713126833747,1261.473606885508,189.9287684804656,908.6885306276852,119.09357399219124
2022-02-13,42197.515625,14741589015,7.599333333333332e-05,-0.001112080209543203,0.09214151434469638,,0.23234136801785887,54.972496451598914,9.65199844087506,718.3242805969348,854.8218920162901,-136.49761141935528,0.037248365015133345,0.008956484094524295,,0.1056545270172095,48.46294669629025,0.8996713412912447,9.904700237580983,-483.2733023427399,493.1780025803209,0.03334859058316429,,,,,,,,,,-13820525195.438272,8948.627378474786,-642.7837340844935,1095.9662013018044,-43.1140527712293,847.4699431386135,106.05121582758667
2022-02-14,42586.91796875,20827783012,6.343e-05,0.009185768314632001,0.09458996415669427,,0.26760281388785767,56.87007681969191,9.920804800994688,624.2225789116492,808.7020293953619,-184.47945048371275,0.037252635029453716,-0.0034911582282829918,,0.1108120580438185,49.49386808003539,-0.3485071221024427,67.78579049572,-373.061483775048,440.84727427076797,0.033174750839022216,,,,,,,,,,-7734331198.43903,5885.688650179352,-814.4975455398207,960.3662875798562,-130.11363030634914,764.339480920151,90.44491557382673
2022-02-15,44575.203125,22721659051,2.567333333333333e-05,0.045630604487240684,0.18753130860305783,,0.451562318746462,65.0235135472587,20.62680153962531,825.171556164074,811.9959347491044,13.175621414969555,0.03473707492181896,0.014145539007045816,,0.12071183613082934,54.30271997444902,1.4246060561889329,223.16954891924252,-253.81527723618987,476.9848261554324,0.03376010806693209,,,,,,,,,,-5840455159.438206,6801.5215494009135,-935.903830097538,1183.3650451691726,-27.708761839996498,588.0380666164491,49.52425355491448
2022-02-16,43961.859375,19792547657,0.0001,-0.01385529504989858,0.16823479772116778,,0.9935751459759186,61.15971182871954,18.32143940784589,826.9005348425271,814.976854767789,11.923680074738172,0.03555560810203969,0.031666071909217275,,0.08535931604840995,52.707716101314794,3.2172776266430363,318.8778961445496,-139.27664256004198,458.1545387045916,0.03339184306147191,,,,,,,,,,-8769566553.438068,7862.9159862512315,-695.9284175827524,1216.6198587404413,-100.7832043748341,492.3157132565492,23.130782467266155
2022-02-17,40538.01171875,26246662813,0.0001,-0.08108233071910446,-0.02347441645538386,,0.5081948376061937,44.99189778572492,-2.320103567093465,305.0869572286174,712.9988752599546,-407.9119180313372,0.031146446664705056,-0.06127592350570967,,0.09623212666916167,45.09043400405455,-5.94363196596409,212.28690477611235,-68.96393309281112,281.25083786892344,0.03615968482136289,,,,,,,,,,-2315451397.4410515,784.4983647926892,-632.7762668006835,589.1295082347772,-468.7596318733627,573.6919828055236,45.75847743482002
2022-02-18,40030.9765625,23310007704,-1.4323333333333334e-05,-0.012586526423760572,-0.03462111939540955,,1.3479148300376538,43.161408341435305,-3.4028665263195994,-99.27686596780404,550.5437270144029,-649.8205929822069,0.031288639942981845,-0.07566360555167956,,0.14349316401366433,44.117627186632916,-7.287196516840861,94.24184703937499,-36.3227770663739,130.5646241057489,0.03620040213672597,,,,,,,,,,-5252106506.440865,1935.1578259187481,-626.3749378567909,154.83431082893773,-706.6558954269335,553.5143269896193,60.62889788526891
2022-02-19,40122.15625,13736557863,6.223666666666667e-05,0.002275138191892225,-0.05551285772109595,,0.4769829381375111,43.608369415184974,-5.400013981012164,-329.7687670179439,374.4812282079335,-704.2499952258775,0.030374563837292787,-0.07191625499538588,,0.14851356771003518,44.3401166687921,-6.939117361152826,-0.36870613229984883,-29.131962879559094,28.763256747259245,0.036208468507743674,,,,,,,,,,-14825556347.439287,7450.050725806377,-470.0974017102999,-56.846942248386156,-784.5525953636779,455.4847965698914,65.21819493959528
2022-02-20,38431.37890625,18340576452,6.956666666666665e-06,-0.043054421746525254,-0.13167886217715846,,0.28868806056028185,37.6592996860009,-12.337753348825768,-698.9659283183282,159.79179690268117,-858.7577252210094,0.029905314341519582,-0.09474310504286233,,0.14385753616826832,41.20577704735663,-9.03934222011344,-170.90732031899097,-57.487034367445474,-113.4202859515455,0.03676188428009051,,,,,,,,,,-10221537758.440998,3138.6537935852684,-610.9807057532707,-547.8020467304285,-863.188080542858,442.21963002028855,92.57801669903306
2022-02-21,37075.28125,29280402798,-4.903333333333335e-06,-0.03592381094835431,-0.17392748209085146,,0.12246762708259697,33.668420293907516,-15.964216355793646,-1090.2040217086324,-90.20736681958152,-999.9966548890509,0.030261723237219686,-0.13362302524782874,,0.14781884063787415,38.931616204904515,-12.50801748720198,-385.9360176551709,-123.17683102499058,-262.7591866301803,0.03718016383918472,,,,,,,,,,718288587.5564575,-4440.5794206737955,-1017.303838152352,-1120.9262450000397,-884.9384765645848,448.2917301889331,130.53194370875167
